image,R1_R3,R1_R2,R2_R3
202201121748100022VAS_slice_1069.png,0.9065963,0.97432226,0.94465226
202201121748100022VAS_slice_1080.png,0.8960232,0.9478228,0.9488425
202201121748100022VAS_slice_1092.png,0.8601366,0.94003195,0.9443196
202201121748100022VAS_slice_1108.png,0.8807726,0.92395294,0.95658344
202201121748100022VAS_slice_1128.png,0.87527335,0.9573559,0.92772174
202201121748100022VAS_slice_1157.png,0.8566187,0.96064883,0.8631228
202201121748100022VAS_slice_1165.png,0.9122247,0.94343585,0.96937346
202201121748100022VAS_slice_1176.png,0.89467657,0.9465146,0.955705
202201121748100022VAS_slice_1183.png,0.920433,0.95430255,0.9649092
202201121748100022VAS_slice_1190.png,0.87991065,0.9459237,0.89690644
202201121748100022VAS_slice_1191.png,0.9196755,0.95797074,0.95939976
202201121748100022VAS_slice_1353.png,0.8230671,0.8940828,0.945297
202201121748100022VAS_slice_1362.png,0.84101015,0.9008736,0.97104657
202201121748100022VAS_slice_1393.png,0.92608064,0.92073953,0.9794237
202201121748100022VAS_slice_1407.png,0.9015989,0.97089696,0.95008606
202201121748100022VAS_slice_1411.png,0.9312144,0.9596663,0.9613081
202201121748100022VAS_slice_1419.png,0.87960243,0.9609369,0.9048808
202201121748100022VAS_slice_1420.png,0.8052597,0.96838117,0.85187465
202201121748100022VAS_slice_1444.png,0.88223803,0.8803159,0.9375893
202201121748100022VAS_slice_1447.png,0.87884223,0.92007846,0.97055405
202201121748100022VAS_slice_1450.png,0.86363125,0.92878723,0.93894744
202201121748100022VAS_slice_1452.png,0.87426674,0.92131805,0.96215785
202201121748100022VAS_slice_1454.png,0.84689176,0.9068843,0.9554432
202201121748100022VAS_slice_1458.png,0.8876525,0.902879,0.97664773
202201121748100022VAS_slice_1465.png,0.8709566,0.92415684,0.9363255
202201121748100022VAS_slice_1502.png,0.8659611,0.9262009,0.9620709
202201121748100022VAS_slice_1503.png,0.8977045,0.95015705,0.9565332
202201121748100022VAS_slice_1520.png,0.90470994,0.91479427,0.9529594
202201121748100022VAS_slice_1664.png,0.9130816,0.9505762,0.9621544
202201121748100022VAS_slice_1667.png,0.88977265,0.95167726,0.96723765
202201121748100022VAS_slice_1677.png,0.91345954,0.91918576,0.96553004
202201121748100022VAS_slice_1680.png,0.8873662,0.95583135,0.9223173
202201121748100022VAS_slice_1706.png,0.91573226,0.9699011,0.9579407
202201121748100022VAS_slice_1730.png,0.90353024,0.95318675,0.9717239
202201121748100022VAS_slice_1740.png,0.8851149,0.9456631,0.94730574
202201121748100022VAS_slice_1755.png,0.9327844,0.915342,0.9335686
